Russian	Pronouncing	Farsi
обувь	kafš	ﺶﻔﮐ
ботинки	putin	ﻦﯿﺗﻮﭘ
туфли	kafš	ﺶﻔﮐ
сапоги	čakme	ﻪﻤﮑﭼ
тапочки	dampāyi	ﯽﯾﺎﭙﻣد
кроссовки	kafš katān-i	ﻰﻧﺎﺘﮐ ﺶﻔﮐ
кеды	kafš katān-i	ﻰﻧﺎﺘﮐ ﺶﻔﮐ
сандалии	sandal	لﺪﻨﺻ
сапожник	kaffāš	شﺎﻔﮐ
каблук	pāšne-ye kafš	ﺶﻔﮐ ﮥﻨﺷﺎﭘ
пара (обуви и т.п.)	yek joft	ﺖﻔﺟ ﮏﯾ
шнурок	band-e kafš	ﺶﻔﮐ ﺪﻨﺑ
шнуровать (ботинки)	band-e kafš bastan	ﻦﺘﺴﺑ ﺶﻔﮐ ﺪﻨﺑ
рожок (для обуви)	pāšne keš	ﺶﮐ ﻪﻨﺷﺎﭘ
крем для обуви	vāks	ﺲﮐاو
