Russian	Pronouncing	Farsi
шариковая ручка	xodkār	رﺎﮐدﻮﺧ
перьевая ручка	xodnevis	ﺲﯾﻮﻧدﻮﺧ
карандаш	medād	داﺪﻣ
маркер	māžik	ﮏﯾژﺎﻣ
фломастер	māžik	ﮏﯾژﺎﻣ
блокнот	daftar-e yāddāšt	ﺖﺷاددﺎﯾ ﺮﺘﻓد
ежедневник	daftar-e yāddāšt	ﺖﺷاددﺎﯾ ﺮﺘﻓد
линейка	xat keš	ﺶﮐ ﻂﺧ
калькулятор	māšin-e hesāb	بﺎﺴﺣ ﻦﯿﺷﺎﻣ
ластик	pāk kon	ﻦﮐ کﺎﭘ
кнопка	punez	ﺰﻧﻮﭘ
скрепка	gire	هﺮﯿﮔ
клей	časb	ﺐﺴﭼ
степлер	mangane-ye zan	نز ﻪﻨﮕﻨﻣ
дырокол	pānč	ﭻﻧﺎﭘ
точилка	madād-e tarāš	شاﺮﺗ داﺪﻣ
